prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,2,256,256,4,8,1,0,7.5,cuda,,744408,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,2,256,256,4,8,1,0,7.5,cuda,,170567,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,2,256,256,4,8,1,0,7.5,cuda,,204357,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,2,256,256,4,8,1,0,7.5,cuda,,402045,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,2,256,256,4,8,1,0,7.5,cuda,,353724,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,2,256,256,4,8,1,0,7.5,cuda,,467980,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,10046,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean guys playing soccer,outputs/txt2img-samples,False,False,50,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,604703,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Man drink coffee,outputs/txt2img-samples,False,False,100,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,999404,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed cinematic portrait of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies",outputs/txt2img-samples,False,False,100,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,751356,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed cinematic portrait of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies",outputs/txt2img-samples,False,False,20,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed cinematic portrait of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies",outputs/txt2img-samples,False,False,50,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed cinematic portrait of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies",outputs/txt2img-samples,False,False,100,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed cinematic portrait of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Korean man wearing coat jacket in the coffee shop drink ice americano using transparent straw.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed Korean guy of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies, photorealistic, masterpiece, shot on 35mm lens, sharp focus, depth of field.",outputs/txt2img-samples,False,False,50,False,0.0,1,256,256,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Highly detailed Korean guy of a cybernetic wanderer in a neon-lit futuristic Seoul street, wearing techwear clothing, intricate mechanical details on face, rainy night, reflection on puddies, photorealistic, masterpiece, shot on 35mm lens, sharp focus, depth of field.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
